ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,ts,V,I
1775248208.74229,0.0,31.7,0.01051,1.3125,OFF,ON,1775248177.7034204,1.83105958,1.31185532
1775248209.368241,0.0,682.49,0.01047,0.0137,OFF,ON,1775248178.1784,1.83180702,1.31224573
1775248210.2964416,0.0,682.49,0.0,0.0145,OFF,ON,1775248178.7312615,1.84653652,1.31188166
1775248210.9158132,0.0,682.49,0.0,0.0161,OFF,ON,1775248179.195348,1.85709655,1.312217
1775248211.8461795,0.0,682.5,0.0,0.0172,OFF,ON,1775248179.7483246,1.97774565,1.31237876
1775248212.6039245,0.0,493.11,0.0,0.0,OFF,OFF,1775248180.2118952,1.87690604,1.31157982
1775248213.5313418,0.008,324.99,0.0,0.0,OFF,OFF,1775248180.765424,1.86628985,1.31164086
1775248214.153347,0.019,31.56,0.0,0.0,OFF,OFF,1775248181.2293694,1.882864,1.31200981
1775248215.0825024,0.019,0.02,0.0,0.0,OFF,OFF,1775248181.783134,1.89958322,1.31240034
1775248215.7039945,0.019,0.02,0.0,0.0,OFF,OFF,1775248182.2487795,1.70762193,1.31163251
1775248216.6303878,0.019,0.01,0.0,0.0,OFF,OFF,1775248182.8030024,1.7208147,1.31189001
1775248217.2523096,0.019,0.01,0.0,0.0,OFF,OFF,1775248183.269382,1.72921741,1.31169593
1775248218.8911605,11.377,682.49,1.31133,0.0293,ON,ON,1775248183.8217726,1.73026431,1.31169116
1775248219.5121188,12.474,682.49,1.31258,0.0287,ON,ON,1775248184.286478,1.73262393,1.31157863
1775248220.443451,12.083,682.49,1.3125,0.0292,ON,ON,1775248184.8401496,1.73334384,1.31170797
1775248221.0595162,12.723,682.49,1.31241,0.0294,ON,ON,1775248185.3072832,1.73606408,1.31216908
1775248222.1292803,0.0,521.55,0.0,0.0,OFF,OFF,1775248185.8611188,1.73922515,1.31162298
1775248222.7528694,0.0,287.84,0.0,0.0,OFF,OFF,1775248186.3258443,1.73921072,1.31163609
1775248223.6853566,0.019,66.58,0.0,0.0,OFF,OFF,1775248186.876992,1.73765361,1.31205416
1775248224.307495,0.019,0.02,0.0,0.0,OFF,OFF,1775248187.342203,1.73587012,1.31205177
1775248225.237606,0.019,0.02,0.0,0.0,OFF,OFF,1775248187.8951995,1.73598862,1.31205177
1775248225.8599763,0.019,0.01,0.0,0.0,OFF,OFF,1775248188.3616617,1.87735522,1.31209242
1775248226.7872243,0.019,0.01,0.0,0.0,OFF,OFF,1775248188.91513,1.73386252,1.31224334
1775248228.1182935,5.731,165.34,1.31252,1.3124,ON,ON,1775248189.3803868,1.73583531,1.3123368
1775248229.050883,6.621,166.69,1.31244,1.3125,ON,ON,1775248189.933781,1.7344662,1.31215477
